Statistics Summary
------------------
Scaling Factor: 0.10600
Time Step: 10.00
Distance ignored from end (microns): 0.00
Dominant Frequency (Hz): 0.00278

Mean Length, Median Length, Std Length, Min Length, Max Length
6.64, 6.60, 0.56, 4.65, 8.36
Frame, Length (micron), Tip Angle, Tip Angle (smooth), EndToEndDistance (micron)
1, 5.597, 21.015, 28.625, 2.656
2, 6.445, 39.808, 27.781, 2.352
3, 6.533, 35.963, 30.489, 2.392
4, 6.364, 23.470, 36.749, 2.096
5, 6.470, 47.432, 44.671, 1.745
6, 6.726, 61.643, 73.289, 1.351
7, 6.602, 77.633, 63.228, 1.033
8, 6.770, 82.897, 37.656, 0.974
9, 6.884, -55.004, 12.053, 0.844
10, 6.953, 6.615, -3.572, 1.108
11, 7.315, 17.594, 4.372, 1.253
12, 7.333, 30.662, 41.140, 1.463
13, 7.264, 41.128, 32.848, 1.524
14, 8.365, 23.797, -12.500, 2.924
15, 4.650, -47.862, -14.843, 1.480
16, 6.478, -89.595, -22.587, 3.152
17, 6.116, 88.344, -20.521, 3.422
18, 6.654, -45.514, -8.751, 3.115
19, 6.416, -28.676, -9.151, 2.723
20, 6.654, -19.258, -27.500, 2.633
21, 6.591, -3.833, -4.356, 2.259
22, 7.059, 17.761, 5.350, 2.459
23, 6.953, -6.155, 9.405, 2.152
24, 6.935, 21.097, 11.467, 1.958
25, 6.741, 7.457, 13.342, 1.496
26, 6.953, 20.977, 18.232, 1.587
27, 6.909, 19.280, 16.977, 1.362
28, 6.511, 14.155, 20.035, 1.416
29, 6.573, 21.229, 13.760, 1.543
30, 6.423, 16.546, 17.025, 1.571
31, 6.230, 9.525, 24.975, 1.669
32, 6.741, 44.151, 30.948, 1.541
33, 6.591, 39.588, 34.058, 1.718
34, 6.361, 30.263, 36.198, 1.909
35, 6.255, 25.898, 36.076, 1.759
36, 6.449, 40.781, 33.694, 1.774
