Statistics Summary
------------------
Scaling Factor: 0.10600
Time Step: 10.00
Distance ignored from end (microns): 0.00
Dominant Frequency (Hz): 0.00238

Mean Length, Median Length, Std Length, Min Length, Max Length
18.40, 18.84, 2.10, 5.59, 19.79
Frame, Length (micron), Tip Angle, Tip Angle (smooth), EndToEndDistance (micron)
1, 17.774, 82.559, 81.911, 5.648
2, 18.462, 78.755, 78.453, 5.740
3, 18.400, 72.226, 74.606, 5.415
4, 17.789, 64.204, 70.370, 4.845
5, 18.955, 84.497, 65.743, 4.767
6, 18.206, 46.359, 60.704, 4.351
7, 19.266, 58.786, 55.727, 4.280
8, 18.852, 48.505, 49.520, 4.461
9, 19.079, 44.111, 41.442, 5.373
10, 18.004, 39.063, 40.186, 5.472
11, 17.715, 31.562, 33.923, 5.654
12, 18.139, 27.956, 27.488, 5.608
13, 18.845, 26.076, 13.308, 5.951
14, 18.475, 14.508, 20.130, 6.275
15, 17.328, 1.428, 22.621, 6.431
16, 17.883, 5.733, 22.648, 6.916
17, 5.586, 83.089, 18.251, 2.826
18, 18.914, -10.014, 10.800, 7.976
19, 18.428, -9.639, -0.120, 7.090
20, 18.604, -24.348, -15.026, 6.842
21, 18.728, -26.217, -30.799, 6.344
22, 19.123, -23.676, -24.636, 5.497
23, 19.061, -21.892, -25.444, 5.278
24, 19.185, -22.827, -23.311, 5.131
25, 19.785, -21.901, -19.665, 5.111
26, 19.255, -17.856, -15.203, 4.684
27, 19.131, -9.057, -8.595, 4.536
28, 17.983, 3.383, -1.309, 4.018
29, 18.619, 5.376, 6.332, 4.115
30, 18.839, 14.009, 13.479, 4.548
31, 18.484, 17.200, 19.388, 4.124
32, 18.689, 26.982, 25.354, 4.129
33, 19.069, 33.288, 34.087, 4.342
34, 18.901, 39.550, 41.706, 4.328
35, 18.469, 49.949, 48.719, 4.245
36, 18.875, 59.709, 55.092, 4.427
37, 19.475, 58.129, 61.168, 4.848
38, 19.325, 63.601, 66.663, 5.084
39, 18.901, 72.632, 70.912, 4.896
40, 19.493, 74.851, 74.295, 5.053
41, 19.361, 78.181, 76.812, 4.514
42, 19.511, 77.400, 78.464, 3.982
